date,arg_temperature,max_temperature,min_temperature,avg_wind,niboshi,agodashi,gyoton,syoturu,bushijikomi,shio,misho,goma,large_s,special_s,egg,bamboo_shoot,shasyu,seaweed,beer,orange,colla,week_end,corana_case,customers,sale
2021/1/6,4.7,6.5,3.4,2.1,23,23,39,26,6,6,6,,49,20,30,17,8,5,0,0,0,,,120,96900
2021/1/7,6.2,11.6,2.2,3.2,33,18,36,8,8,8,7,,43,16,23,13,6,7,0,1,1,,,113,93600
2021/1/8,2,6.1,-2.2,1.4,26,15,30,8,5,8,9,,34,10,24,11,5,1,1,1,0,,,101,80100
2021/1/9,1.2,7.6,-4.6,1,29,36,36,18,8,8,10,,49,14,36,14,16,5,1,0,0,,,134,116900
2021/1/10,1.3,7.3,-4.1,1.1,38,14,42,14,4,3,9,,44,15,33,10,8,6,0,0,0,,,121,103050
2021/1/11,1.1,5.6,-2.7,1.2,35,13,32,16,6,1,12,,33,14,20,7,6,2,1,0,2,,,110,89550
2021/1/12,2.7,4.7,0.7,1.6,29,13,34,9,1,2,11,,36,11,20,5,10,2,0,0,0,,,94,78450
2021/1/13,4.8,11.7,-1.8,0.9,22,22,22,19,6,5,9,,28,16,21,7,3,4,0,1,2,,,105,81700
2021/1/14,6.5,13.3,0.5,1.2,26,18,13,12,8,5,3,,27,12,14,8,5,2,0,0,0,,,84,65600
2021/1/15,5.4,6.7,3.1,1.5,22,20,32,9,4,2,12,,38,19,26,10,10,6,3,1,0,,,101,83200
2021/1/16,9.4,16.7,3.8,1.8,46,18,30,9,4,2,14,,39,14,21,8,8,3,1,0,0,,,118,95450
2021/1/17,5,7,2.6,1.7,29,26,34,15,7,5,18,,35,15,28,6,8,2,1,0,1,,,119,104750
2021/1/18,4.2,9,0,1.6,20,19,21,6,5,4,6,,29,8,18,9,6,1,0,0,0,,,76,64050
2021/1/19,4.2,8,0.3,3.2,35,14,17,9,5,5,10,,38,18,23,10,3,3,1,0,0,,,93,75150
2021/1/20,2.8,7.7,-1.5,1.6,24,20,33,12,3,3,10,,34,13,17,9,6,4,0,0,2,,,103,82700
2021/1/21,4.2,11.9,-1.6,1,28,23,31,15,4,4,7,,35,14,17,10,4,3,0,0,2,,,102,86850
2021/1/22,7.8,16.1,0.5,0.9,27,18,24,12,10,2,5,,33,14,23,6,4,2,0,0,2,,,91,76450
2021/1/23,6.1,9.5,2.8,2.8,22,15,41,12,3,2,8,,37,12,22,9,7,4,2,0,0,,,86,83200
2021/1/24,4,6.6,2.1,2.6,23,23,29,8,3,2,17,,49,7,22,7,7,5,2,0,1,,,102,84450
2021/1/25,6.9,12.3,3.2,1.4,15,16,26,6,5,6,5,,21,10,16,9,3,1,1,2,0,,,79,62750
2021/1/26,7.1,11.3,1.7,1.1,14,14,18,5,5,4,5,,21,10,13,3,4,2,0,0,0,,,72,50950
2021/1/27,9.2,13.6,6.1,1.1,24,19,19,11,3,6,14,,32,11,20,11,7,3,0,0,0,,,92,76050
2021/1/28,3.9,7.1,1.5,2,20,10,18,7,3,2,6,,22,8,15,2,6,5,0,0,0,,,69,52100
2021/1/29,5,10,1.6,2.3,33,18,26,7,9,6,13,,44,10,31,9,7,3,2,0,0,,,109,89400
2021/1/30,3.3,8,-0.6,2,33,24,31,10,10,4,16,,36,12,28,11,11,2,2,0,0,,,116,101700
2021/1/31,4.6,11.2,-1.6,1.8,26,31,31,17,5,3,10,,42,17,19,5,5,1,0,0,1,,,118,94800
2021/2/1,7,14.1,1.7,2,24,19,25,16,4,3,5,,34,9,20,4,11,4,0,0,2,,,95,76150
2021/2/2,10,15.4,4.5,2.2,18,11,22,11,1,3,10,,26,5,18,7,6,5,0,0,0,,,75,60550
2021/2/3,5.5,11.1,-0.3,1.2,32,12,22,12,5,4,7,,30,13,15,10,11,4,1,0,0,,,89,75100
2021/2/4,6.4,11.8,0.7,2.2,22,14,19,6,7,2,7,,29,8,12,7,4,3,1,0,0,,,73,60400
2021/2/5,6.3,11,2.1,1.5,28,12,26,10,4,2,11,,33,9,17,8,5,5,1,0,0,,,91,73400
2021/2/6,8.4,15.1,3.2,1.1,27,26,23,13,4,6,11,,29,6,18,9,4,4,1,0,0,,,99,84450
2021/2/7,9.5,15.5,3.9,1.6,26,30,26,11,7,10,9,,37,13,19,11,8,3,0,0,1,,,114,92900
2021/2/8,5.5,9.1,1.3,1.8,18,20,21,6,9,5,12,,22,13,15,4,11,2,0,0,1,,,88,72050
2021/2/9,4,8.8,0,2.4,31,14,27,6,6,3,10,,30,15,17,5,5,4,0,0,2,,,95,75600
2021/2/10,6.5,11.1,0.9,1.7,36,18,15,12,6,5,16,,38,13,18,7,8,2,1,0,0,,,100,84100
2021/2/11,8.3,13.4,2.8,2.7,28,20,34,17,9,8,16,,39,9,23,12,11,2,4,0,0,,,115,105400
2021/2/12,7,12.5,2.6,1.1,26,22,27,12,4,6,7,,34,9,19,10,6,0,1,0,2,,,106,81500
2021/2/13,9.9,15.8,3.4,1.6,26,18,31,15,6,4,21,,38,19,21,6,6,4,2,0,0,,,105,88950
2021/2/14,12.2,17.9,5.8,1.7,25,22,25,6,8,15,27,,27,14,23,6,5,5,1,0,0,,,93,79650
2021/2/15,12.8,16.7,7.6,2.1,9,8,17,8,2,1,5,,19,7,10,6,4,1,2,1,0,,,51,41450
2021/2/16,10.6,15.6,5.6,2.1,30,18,30,6,3,5,4,,31,7,13,8,4,4,0,0,0,,,91,73550
2021/2/17,7.4,12.9,1.7,3.5,27,14,25,15,5,6,29,,29,9,24,8,6,3,1,0,0,,,101,78550
2021/2/18,3.6,7.9,-1.6,1.8,22,13,19,10,6,3,8,,31,9,15,8,7,2,2,1,1,,,82,65350
2021/2/19,6,10.6,-1.8,2.1,27,18,28,10,3,2,12,,33,13,22,10,8,3,1,0,0,,,102,80100
2021/2/20,9.7,15.9,1.3,2.7,39,21,36,9,7,10,10,,41,12,32,13,18,9,2,0,0,,,123,112050
2021/2/21,13.4,19.6,5.7,1.6,28,23,38,19,12,7,25,,55,14,20,15,10,1,1,1,0,,,142,119950
2021/2/22,13.6,20,5.8,2,16,27,34,5,7,2,12,,26,13,27,6,5,0,2,0,1,,,101,82200
2021/2/23,11.1,15.5,5.5,2.8,30,29,47,8,5,4,10,,30,13,25,9,11,7,3,1,2,,,121,106500
2021/2/24,6.3,11.2,2.7,3.1,38,17,22,18,7,5,8,,48,7,27,12,4,2,0,0,1,,,117,89050
2021/2/25,5.9,12.3,0.5,1.5,37,15,23,7,3,4,11,,34,14,21,10,10,5,4,0,3,,,104,82000
2021/2/26,8,10.7,5.1,1.4,33,15,31,12,9,3,10,,35,8,18,10,5,2,2,0,0,,,108,87800
2021/2/27,5.2,8.6,1.4,2.4,34,30,38,14,1,5,16,,38,10,22,9,9,6,1,0,1,,,124,107550
2021/2/28,5.7,12.2,-1.2,1.2,38,21,42,12,6,7,14,,47,19,33,18,8,7,5,1,0,,,129,114500
2021/3/1,11.3,17.8,4.4,2,21,16,19,11,4,4,6,,22,5,14,7,6,0,0,0,0,,,82,62450
2021/3/2,13.4,19.6,7.6,3.9,9,11,26,7,2,2,7,,19,6,13,4,2,2,0,0,1,,,63,50300
2021/3/3,6.7,10.7,3.1,2.5,24,20,36,18,3,5,8,,40,21,17,9,6,8,2,0,2,,,109,91550
2021/3/4,8.3,14.5,1.7,1.3,41,16,15,18,5,7,8,,47,16,23,1,9,4,0,0,1,,,108,85300
2021/3/5,11.8,16.6,7.1,1,23,25,28,13,8,6,8,,37,13,25,10,11,3,0,1,0,,,104,88700
2021/3/6,13,19.6,9.4,1.8,44,27,37,7,10,6,13,,42,12,28,9,11,3,3,0,1,,,139,113250
2021/3/7,7.2,9.4,5.4,2.6,40,35,43,12,10,7,16,,44,20,36,22,11,8,2,1,0,,,149,130850
2021/3/8,6.6,7.6,5.2,2,27,19,22,8,7,4,7,,40,11,17,8,8,2,2,0,0,,,96,75100
2021/3/9,8.8,13,4.8,1.6,25,15,32,12,8,2,12,,37,11,17,6,4,2,0,0,0,,,103,81900
2021/3/10,11.6,18.6,5.9,2.3,27,19,24,8,3,3,13,,26,12,28,9,13,5,0,0,0,,,91,78800
2021/3/11,8.9,14.8,2.3,1.4,33,28,23,11,4,5,9,,40,13,25,11,7,4,2,0,0,,,111,89650
2021/3/12,12.3,16.4,7.4,1.2,41,23,25,10,4,5,12,,35,12,31,6,13,3,1,0,0,,,115,94800
2021/3/13,11.9,14.1,10.1,2.4,29,14,24,5,1,2,7,,28,7,25,4,7,2,1,0,1,,,78,65300
2021/3/14,12.7,17.3,8.3,3.6,44,31,39,9,7,4,7,,40,14,25,15,9,5,1,0,0,,,126,110200
2021/3/15,12.2,18.3,6.7,2.2,26,18,25,7,3,6,6,,35,8,21,5,3,4,0,0,0,,,89,70500
2021/3/16,13,19.2,6.4,2.1,33,16,29,7,3,4,8,,33,13,22,10,9,5,0,9,2,,,98,79900
2021/3/17,13.4,19.4,8.5,1.5,26,13,30,11,4,9,7,,34,9,17,9,3,1,0,0,3,,,97,77500
2021/3/18,11.5,16.6,4.9,1.5,31,17,20,6,2,8,12,,36,10,20,12,11,4,1,0,1,,,96,77650
2021/3/19,12,16.5,9.2,2.2,33,18,36,10,7,6,12,,39,21,21,16,9,3,1,0,2,,,114,99550
2021/3/20,13.1,17.4,8.7,1.5,49,21,26,13,9,4,10,,42,14,32,11,9,0,1,0,1,,,121,103000
2021/3/21,17.4,19.4,14.4,3.4,23,19,27,11,6,1,17,,31,19,28,10,10,2,3,0,1,,,97,85950
2021/3/22,12.2,16.2,6.3,1.9,41,23,22,6,5,8,4,,43,16,17,10,7,6,1,0,0,,,110,85350
2021/3/23,10.2,14.8,3.8,1.4,33,23,24,8,6,4,2,,34,11,19,6,4,2,3,0,0,,,101,77950
2021/3/24,13.1,18.5,6.9,2.2,27,21,32,9,3,4,9,,34,21,16,12,13,0,1,0,0,,,103,85150
2021/3/25,14,18.2,10.4,1.6,34,29,20,12,6,4,10,,31,11,29,11,11,2,2,2,0,,,115,91750
2021/3/26,13.5,20.2,7,1.9,43,23,22,8,8,7,17,,41,11,25,18,11,4,1,0,0,,,120,101550
2021/3/27,13,19.2,6.2,1.6,32,31,42,16,8,7,15,,38,19,36,11,9,4,0,0,1,,,140,120800
2021/3/28,16.7,20.4,14.1,2.4,27,20,39,13,7,7,15,,40,15,11,2,2,5,1,0,1,,,112,99650
2021/3/29,17.3,22.2,14.5,1.6,33,26,27,9,9,7,4,,34,18,19,8,4,2,0,0,0,,,112,88200
2021/3/30,17,22.1,12.6,1.8,42,19,28,13,10,4,3,,45,10,35,11,7,0,1,0,1,,,114,93550
2021/3/31,17,21.2,14.7,1.5,30,15,32,10,3,4,9,,39,13,18,12,4,3,1,0,1,,,99,81450
2021/4/1,15.7,20.7,12.5,2,30,10,24,10,10,5,3,,45,6,10,8,7,6,0,0,0,,,88,71650
2021/4/2,15.4,20.1,12.1,2.1,34,16,24,13,4,5,8,,40,13,25,10,4,3,3,0,2,,,95,83100
2021/4/3,16.6,22.2,10.5,1.5,39,23,41,11,5,8,9,,47,3,28,8,10,4,0,1,2,,,126,105750
2021/4/4,17.8,21.5,15.9,2.6,50,27,25,10,5,6,6,,40,17,23,11,6,3,2,0,1,,,115,99950
2021/4/5,12.9,17.9,8.3,3,27,11,19,15,4,5,10,,30,11,24,6,6,3,2,0,1,,,88,72650
2021/4/6,10,13.7,6.6,2.6,36,20,15,10,6,5,7,,39,9,16,9,5,3,1,0,0,,,93,76450
2021/4/7,12.6,19.1,6.5,1.5,30,14,27,9,2,4,5,,29,16,13,9,10,3,1,0,0,,,91,72800
2021/4/8,13.3,18.3,9.5,1.8,27,23,29,8,7,8,4,,42,9,22,14,9,4,1,1,0,,,108,85100
2021/4/9,11.7,17.4,6.8,2.1,36,25,25,7,8,7,7,,40,8,18,12,8,0,3,0,0,,,118,90200
2021/4/10,9.7,14.9,6.5,1.7,41,23,29,12,11,8,10,,33,12,28,18,14,3,2,0,0,,,129,106850
2021/4/11,11.5,17.6,5.6,1.4,37,25,34,11,4,6,9,,39,6,27,12,15,5,6,0,0,,,122,102800
2021/4/12,13.7,20.2,7.1,1.6,34,17,29,8,8,4,5,,39,3,22,6,5,3,1,0,0,,,109,80900
2021/4/13,15.8,20.3,12.6,2.1,27,15,16,8,7,10,4,,33,15,16,3,3,0,0,0,1,,,90,66650
2021/4/14,15.3,20.5,6.9,2.8,19,10,31,9,6,10,7,,31,15,17,9,6,2,2,0,0,,,90,74150
2021/4/15,10,15.3,5.4,2.1,27,21,23,14,4,5,4,,30,13,23,7,7,3,3,0,0,,,94,78300
2021/4/16,13.5,19.3,7.3,1.6,31,19,30,12,10,8,9,,40,14,15,6,13,6,2,1,0,,,116,94500
2021/4/17,15.8,18.7,13.7,2.2,43,29,30,10,10,11,15,,53,16,24,16,11,2,1,0,0,,,143,115850
2021/4/18,16.5,21.8,13.2,3.4,49,19,38,11,12,9,8,,38,21,28,12,12,3,6,1,1,,,127,117250
2021/4/19,15.7,20.8,11.3,2.7,26,29,22,9,9,3,6,,31,11,20,5,5,5,0,0,1,,,103,80200
2021/4/20,16.1,22.3,9.9,1.6,20,10,19,7,9,7,3,,30,8,12,8,4,2,3,0,1,,,73,60150
2021/4/21,17.4,24.7,9.5,1.6,25,23,15,11,10,3,8,,28,14,18,8,6,3,1,0,0,,,93,75000
2021/4/22,16.9,26.5,9.5,2.5,34,13,15,10,7,6,5,,40,14,14,9,1,1,1,0,0,,,87,69300
2021/4/23,12.9,18.1,8,2.1,30,27,25,7,9,8,6,,39,13,23,12,8,6,2,0,0,,,114,89400
2021/4/24,14.9,22.1,8.4,1.6,39,20,31,16,17,15,9,,38,8,30,13,9,8,2,2,2,,,135,115250
2021/4/25,16.3,21.8,11.7,2.2,58,17,38,11,8,8,6,,45,13,19,14,6,6,2,0,2,,,131,112450
2021/4/26,12.1,17.9,7,2.2,36,17,17,10,9,5,2,,26,10,18,6,5,4,1,0,1,,,91,73650
2021/4/27,14.4,21,6.6,2.1,31,19,23,15,3,8,8,,34,19,27,8,7,3,2,1,2,,,109,85900
2021/4/28,17.9,21.9,11.4,3,34,13,19,14,6,5,4,,43,10,28,7,4,1,0,0,0,,,90,74050
2021/4/29,16.8,19.2,15.8,2.4,31,24,24,14,6,6,10,,38,12,28,13,11,9,0,0,0,,,110,92150
2021/4/30,18.9,24.4,14.3,2.6,41,22,35,21,12,9,4,,61,15,29,7,7,4,0,0,2,,,145,111650
2021/5/1,17.2,22.9,12.1,2.3,44,25,22,17,9,7,5,,37,5,29,14,6,5,0,0,0,,,116,98800
2021/5/2,16.8,20.7,12.3,3.4,36,18,21,17,8,6,6,,36,14,22,11,6,3,0,0,0,,,102,86800
2021/5/3,15.5,20.4,9,2.4,39,21,21,13,9,13,11,,38,13,24,11,6,5,0,0,2,,,108,98100
2021/5/4,17.9,24.5,9.8,1.6,38,23,21,14,5,10,12,,42,15,24,10,8,3,0,0,1,,,112,95800
2021/5/5,18.6,21,17.1,3.5,31,25,34,17,5,4,4,,37,13,23,12,8,4,0,0,0,,,110,94000
2021/5/6,18.2,23.1,15.7,1.8,30,21,14,8,6,10,6,,31,13,16,8,7,2,0,0,1,,,93,73750
2021/5/7,17.5,20.3,14.6,1.1,38,24,19,10,5,10,7,,29,14,17,8,8,3,0,0,0,,,113,86550
2021/5/8,19,23.5,13.1,2.2,43,32,27,16,6,5,12,,33,16,38,13,3,9,0,0,2,,,130,109450
2021/5/9,21.3,25.3,16.8,3.2,29,16,19,15,8,10,14,,31,13,17,5,9,0,0,0,1,,,102,85600
2021/5/10,19.8,24.8,14.7,2.2,30,15,11,6,8,12,4,,33,11,14,11,7,7,0,0,1,,,85,67850
2021/5/11,17.4,18.9,15.4,1.5,30,15,18,14,4,6,2,,22,14,21,9,5,1,0,0,0,,,87,69100
2021/5/12,17.5,21.3,13.6,1.7,28,14,19,10,10,13,6,,37,11,22,7,9,2,0,0,0,,,98,78500
2021/5/13,16.6,18.1,14.5,1.4,28,11,2,39,7,5,7,,34,8,17,10,7,5,0,1,2,,,87,71500
2021/5/14,20.5,27.1,16.1,1.5,34,13,16,17,5,6,5,,33,10,19,10,5,3,9,1,1,,,91,74450
2021/5/15,20.8,27.6,17,1.7,36,23,31,19,12,10,12,,27,21,38,19,12,1,0,1,0,,,133,113800
2021/5/16,20.2,23.4,17.7,1.8,45,24,32,18,11,12,8,,48,17,22,10,12,3,0,0,1,,,146,116000
2021/5/17,21.7,23.4,20.1,4.2,40,17,14,8,6,8,2,,28,14,20,10,9,4,0,0,1,,,93,74400
2021/5/18,19.9,22.1,15.9,1.9,28,19,15,18,3,9,9,,35,12,24,10,8,4,0,0,0,,,97,79750
2021/5/19,17,18.4,15.4,1.1,26,19,15,11,2,6,12,,35,6,21,10,7,2,0,0,1,,,89,71800
2021/5/20,19.2,23.4,15.9,1.1,33,12,21,6,7,2,4,,28,9,20,6,2,1,0,0,1,,,84,65050
2021/5/21,21.8,24,19.1,3.8,33,18,24,13,5,13,7,,46,17,19,10,6,1,0,0,0,,,113,88000
2021/5/22,19.3,21.4,16.9,2.6,53,23,25,12,13,3,11,,40,11,24,9,9,7,0,0,1,,,125,107100
2021/5/23,19.2,24.3,15.3,1.8,35,19,19,17,15,4,6,,30,19,24,15,5,0,0,0,1,,,110,89450
2021/5/24,21.2,27.6,15.6,1.9,30,20,15,10,10,2,1,,35,4,23,8,6,1,0,0,0,,,86,68150
2021/5/25,22.2,29.1,17.5,2.1,35,14,30,8,2,12,4,,36,11,24,6,8,0,0,0,0,,,103,81650
2021/5/26,20.6,25.7,16.4,1.6,26,20,20,9,6,5,4,14,30,11,20,7,2,2,0,1,1,,,102,80750
2021/5/27,16.8,18.7,15.5,1.4,25,16,17,8,7,7,10,,27,11,11,4,4,3,0,0,0,,,85,68550
2021/5/28,20.4,25.9,15.5,1.8,42,21,22,13,8,7,5,,35,25,18,4,5,2,0,0,0,,,115,89950
2021/5/29,21.8,25.1,19.7,3,46,20,35,11,15,6,8,,43,15,24,12,12,1,0,0,1,,,131,109650
2021/5/30,21.1,26.1,17.5,1.7,37,27,30,3,9,12,10,,47,11,24,13,6,3,0,0,1,,,122,99500
2021/5/31,19.8,24.6,15.2,1.6,26,13,14,6,12,5,3,22,29,10,16,7,5,2,0,0,1,,,99,79150
2021/6/1,19.5,25.8,15.1,1.7,18,16,17,5,2,3,9,17,31,9,15,7,6,3,0,0,1,,,89,69950
2021/6/2,21.7,26.2,18.3,1.5,25,16,19,6,9,6,2,13,34,12,13,10,9,0,0,0,1,,,98,76400
2021/6/3,22,27.4,18.1,1.9,19,25,14,3,8,3,6,,33,8,16,9,4,1,0,0,1,,,76,61300
2021/6/4,21.6,24.4,19.8,2.9,34,7,8,5,2,2,10,,27,9,11,3,3,3,0,0,0,,,70,53750
2021/6/5,21.4,25.6,19.2,1.5,48,30,21,12,9,6,16,,46,15,26,12,5,5,0,0,3,,,129,109250
2021/6/6,21.4,22.7,20.4,1.4,36,20,24,9,1,8,9,,41,6,16,12,2,4,0,0,0,,,99,81700
2021/6/7,23.3,28.8,20.1,1.1,33,17,9,11,3,4,1,11,25,10,19,10,2,1,0,0,0,,,92,68500
2021/6/8,24.1,31.7,17.9,1.4,27,11,10,3,10,8,4,12,32,7,13,5,7,2,0,0,1,,,84,66500
2021/6/9,24.1,30.4,18.4,1.6,18,6,20,3,6,3,3,20,22,3,11,5,7,2,0,0,1,,,80,62900
2021/6/10,23.5,29.9,18.5,1.5,27,8,14,5,8,8,10,,31,13,11,9,1,0,0,0,0,,,75,61400
2021/6/11,23.4,29,19.7,1.7,50,20,23,9,7,5,8,,52,20,20,9,5,6,0,0,0,,,121,93750
2021/6/12,23.5,28.2,19.4,2.1,47,25,26,13,12,8,3,,47,13,23,11,10,2,0,0,0,,,126,103200
2021/6/13,24.4,29.3,22.1,2.1,60,25,27,8,13,8,11,,38,15,24,7,9,2,0,0,0,,,139,114600
2021/6/14,21.6,22.9,19.7,1,17,13,16,2,4,1,3,11,25,6,10,4,7,3,0,0,1,,,66,53750
2021/6/15,22.9,28.6,18.3,1.1,20,15,20,7,3,1,4,14,35,12,10,2,5,1,0,0,1,,,83,66150
2021/6/16,22.8,25.8,20.5,1.5,24,11,18,7,5,5,6,17,22,15,20,7,6,2,0,0,0,,,90,74150
2021/6/17,21.9,26.1,18.5,2.5,36,16,23,9,7,10,9,,24,10,26,13,14,5,0,1,4,,,106,88300
2021/6/18,22.5,28.3,17.1,1.8,31,26,21,7,8,8,5,,36,14,15,5,8,6,0,0,0,,,103,82000
2021/6/19,21,22.8,19.3,1.5,54,28,35,8,9,8,9,,48,13,38,9,7,3,0,0,0,,,141,116100
2021/6/20,22.5,28,19.3,1.7,58,30,37,8,4,12,10,,51,13,38,13,9,4,0,1,0,,,135,123150
2021/6/21,21.8,26.7,17.8,1.8,32,16,16,4,5,1,7,15,31,16,17,6,8,1,0,0,0,,,95,76100
